GEOID,Total,Elementary,Middle,High,STATEFP20,COUNTYFP20,TRACTCE20,Total Students,Grade_Cluster_Elementary,Grade_Cluster_Middle,Grade_Cluster_High,market_share_total,market_share_elementary,market_share_middle,market_share_high,replaced_by_county_ms_elementary,replaced_by_county_ms_middle,replaced_by_county_ms_high
37119005405,2844,277,487,118,37,119,005405,601,270,159,172,0.21132208157524612,0.9747292418772563,0.3264887063655031,0.5956669683734754,0,0,1
37119005406,3894,138,433,268,37,119,005406,495,228,122,145,0.1271186440677966,0.6925395620184098,0.2817551963048499,0.5410447761194029,1,0,0
37119005508,4132,242,271,257,37,119,005508,415,162,93,160,0.10043562439496612,0.6694214876033058,0.34317343173431736,0.622568093385214,0,0,0
37119005510,6676,620,636,657,37,119,005510,1419,570,322,527,0.21255242660275614,0.9193548387096774,0.5062893081761006,0.802130898021309,0,0,0
37119005511,3522,198,91,88,37,119,005511,495,202,91,202,0.14054514480408858,0.6925395620184098,1,0.5956669683734754,1,0,1
37119005512,5951,328,545,408,37,119,005512,871,315,213,343,0.14636195597378593,0.9603658536585366,0.3908256880733945,0.8406862745098039,0,0,0
37119005513,4282,249,168,384,37,119,005513,442,152,87,203,0.10322279308734236,0.6104417670682731,0.5178571428571429,0.5286458333333334,0,0,0
37119005515,2349,66,161,113,37,119,005515,281,96,61,124,0.11962537249893572,0.6925395620184098,0.37888198757763975,0.5956669683734754,1,0,1
37119005516,2086,146,215,68,37,119,005516,174,70,38,66,0.08341323106423777,0.4794520547945205,0.17674418604651163,0.9705882352941176,0,0,0
37119005517,4060,204,172,401,37,119,005517,465,184,97,184,0.1145320197044335,0.9019607843137255,0.563953488372093,0.45885286783042395,0,0,0
37119005519,5821,543,362,571,37,119,005519,873,344,201,328,0.14997423123174713,0.6335174953959485,0.5552486187845304,0.574430823117338,0,0,0
37119005520,4936,298,404,374,37,119,005520,672,210,146,316,0.13614262560777957,0.7046979865771812,0.3613861386138614,0.8449197860962567,0,0,0
37119005522,4859,219,431,265,37,119,005522,559,214,112,233,0.11504424778761062,0.9771689497716894,0.25986078886310904,0.879245283018868,0,0,0
37119005525,3929,353,274,234,37,119,005525,447,183,94,170,0.11376940697378468,0.5184135977337111,0.34306569343065696,0.7264957264957265,0,0,0
37119005526,2847,83,170,112,37,119,005526,463,211,96,156,0.16262732701088867,0.6925395620184098,0.5647058823529412,0.5956669683734754,1,0,1
37119005527,2910,92,240,119,37,119,005527,193,69,39,85,0.06632302405498282,0.75,0.1625,0.7142857142857143,0,0,0
37119005528,3854,182,206,130,37,119,005528,424,190,80,154,0.11001556824078879,0.6925395620184098,0.3883495145631068,0.5956669683734754,1,0,1
37119005529,1599,134,25,138,37,119,005529,310,118,77,115,0.1938711694809256,0.8805970149253731,0.46119611095851776,0.8333333333333334,0,1,0
37119005530,3082,134,184,218,37,119,005530,413,135,93,185,0.13400389357560025,0.6925395620184098,0.5054347826086957,0.8486238532110092,1,0,0
37119005531,5804,627,440,246,37,119,005531,549,245,107,197,0.09458993797381117,0.39074960127591707,0.2431818181818182,0.8008130081300813,0,0,0
37119005532,3967,146,137,140,37,119,005532,234,113,49,72,0.058986639778169904,0.773972602739726,0.35766423357664234,0.5142857142857142,0,0,0
37119005533,1071,47,26,0,37,119,005533,84,32,16,36,0.0784313725490196,0.6808510638297872,0.6153846153846154,0.5956669683734754,0,0,1
37119005534,5063,303,199,51,37,119,005534,248,117,52,79,0.04898281651194944,0.38613861386138615,0.2613065326633166,0.5956669683734754,0,0,1
37119005535,3876,326,235,86,37,119,005535,446,189,112,145,0.1150670794633643,0.5797546012269938,0.4765957446808511,0.5956669683734754,0,0,1
37119005536,5655,263,178,342,37,119,005536,689,279,198,212,0.12183908045977011,0.6925395620184098,0.46119611095851776,0.6198830409356725,1,1,0
37119005604,5684,7,15,1331,37,119,005604,206,89,59,58,0.036242083040112595,0.6925395620184098,0.46119611095851776,0.04357625845229151,1,1,0
37119005609,3521,90,29,123,37,119,005609,213,95,50,68,0.06049417779040046,0.6925395620184098,0.46119611095851776,0.5528455284552846,1,1,0
37119005610,2564,150,52,123,37,119,005610,388,177,80,131,0.15132605304212168,0.6925395620184098,0.46119611095851776,0.5956669683734754,1,1,1
37119005611,3734,140,254,256,37,119,005611,430,210,91,129,0.11515800749866095,0.6925395620184098,0.35826771653543305,0.50390625,1,0,0
37119005612,5789,196,445,292,37,119,005612,714,311,153,250,0.12333736396614269,0.6925395620184098,0.3438202247191011,0.8561643835616438,1,0,0
37119005613,3764,218,225,364,37,119,005613,457,225,97,135,0.121413390010627,0.6925395620184098,0.4311111111111111,0.3708791208791209,1,0,0
37119005615,2250,98,288,134,37,119,005615,326,117,58,151,0.1448888888888889,0.6925395620184098,0.2013888888888889,0.5956669683734754,1,0,1
37119005616,2452,131,379,79,37,119,005616,331,137,86,108,0.13499184339314846,0.6925395620184098,0.22691292875989447,0.5956669683734754,1,0,1
37119005617,2269,137,228,153,37,119,005617,625,261,151,213,0.2754517408550022,0.6925395620184098,0.6622807017543859,0.5956669683734754,1,0,1
37119005618,3458,223,280,334,37,119,005618,460,194,111,155,0.13302486986697512,0.8699551569506726,0.3964285714285714,0.46407185628742514,0,0,0
37119005619,4810,544,106,173,37,119,005619,862,381,201,280,0.17920997920997922,0.7003676470588235,0.46119611095851776,0.5956669683734754,0,1,1
37119005621,6044,299,361,352,37,119,005621,518,244,112,162,0.085704831237591,0.8160535117056856,0.31024930747922436,0.4602272727272727,0,0,0
37119005622,2135,69,229,0,37,119,005622,208,110,46,52,0.09742388758782201,0.6925395620184098,0.20087336244541484,0.5956669683734754,1,0,1
